--- Algorithmic Trading Bot ---
Starting trading engine. Press Ctrl+C to stop.
Market is closed. Waiting for next open in 0d 0h 8m...
Market is closed. Waiting for next open in 0d 0h 7m...
Market is closed. Waiting for next open in 0d 0h 6m...
Market is closed. Waiting for next open in 0d 0h 5m...
Market is closed. Waiting for next open in 0d 0h 4m...
Market is closed. Waiting for next open in 0d 0h 3m...
Market is closed. Waiting for next open in 0d 0h 2m...
Market is closed. Waiting for next open in 0d 0h 1m...
Market is closed. Waiting for next open in 0d 0h 0m...
Market is open. Starting trading engine...
11:29:34 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($127.24)
11:30:04 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($110.24)
11:30:35 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($127.20)
11:31:06 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($152.64)
11:31:37 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($144.16)
11:32:07 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($165.36)
11:32:38 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($161.08)
11:33:09 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($186.56)
11:33:40 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($156.88)
11:34:11 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($131.44)
11:34:41 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($63.60)
11:35:12 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($114.48)
11:35:43 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($76.32)
11:36:13 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($76.28)
11:36:44 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($46.64)
11:37:15 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($59.36)
11:37:46 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($80.56)
11:38:16 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($76.32)
11:38:47 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($80.56)
11:39:18 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($80.56)
